"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Bulgaria","2021","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2021","6916548",""
"Bulgaria","2021","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2021","59029",""
"Bulgaria","2021","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2021","314370",""
"Bulgaria","2021","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2021","61688",""
"Bulgaria","2021","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2021","255341",""
"Bulgaria","2021","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2021","62841",""
"Bulgaria","2021","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2021","64940",""
"Bulgaria","2021","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2021","65872",""
"Bulgaria","2021","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2021","66435",""
"Bulgaria","2021","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2021","337290",""
"Bulgaria","2021","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2021","68044",""
"Bulgaria","2021","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2021","65759",""
"Bulgaria","2021","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2021","67938",""
"Bulgaria","2021","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2021","69114",""
"Bulgaria","2021","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2021","69576",""
"Bulgaria","2021","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2021","347354",""
"Bulgaria","2021","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2021","73018",""
"Bulgaria","2021","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2021","70185",""
"Bulgaria","2021","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2021","67806",""
"Bulgaria","2021","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2021","66769",""
"Bulgaria","2021","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2021","65021",""
"Bulgaria","2021","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2021","314238",""
"Bulgaria","2021","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2021","64369",""
"Bulgaria","2021","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2021","62142",""
"Bulgaria","2021","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2021","61332",""
"Bulgaria","2021","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2021","61374",""
"Bulgaria","2021","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2021","65083",""
"Bulgaria","2021","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2021","306421",""
"Bulgaria","2021","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2021","65543",""
"Bulgaria","2021","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2021","58031",""
"Bulgaria","2021","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2021","55748",""
"Bulgaria","2021","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2021","62016",""
"Bulgaria","2021","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2021","61996",""
"Bulgaria","2021","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2021","364385",""
"Bulgaria","2021","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2021","68505",""
"Bulgaria","2021","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2021","73202",""
"Bulgaria","2021","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2021","77127",""
"Bulgaria","2021","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2021","83555",""
"Bulgaria","2021","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2021","90676",""
"Bulgaria","2021","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2021","474861",""
"Bulgaria","2021","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2021","94897",""
"Bulgaria","2021","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2021","97119",""
"Bulgaria","2021","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2021","95085",""
"Bulgaria","2021","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2021","97084",""
"Bulgaria","2021","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2021","94684",""
"Bulgaria","2021","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2021","478532",""
"Bulgaria","2021","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2021","95958",""
"Bulgaria","2021","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2021","95708",""
"Bulgaria","2021","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2021","95318",""
"Bulgaria","2021","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2021","96864",""
"Bulgaria","2021","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2021","98044",""
"Bulgaria","2021","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2021","522220",""
"Bulgaria","2021","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2021","103754",""
"Bulgaria","2021","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2021","103623",""
"Bulgaria","2021","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2021","107331",""
"Bulgaria","2021","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2021","109468",""
"Bulgaria","2021","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2021","109636",""
"Bulgaria","2021","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2021","528127",""
"Bulgaria","2021","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2021","112893",""
"Bulgaria","2021","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2021","105675",""
"Bulgaria","2021","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2021","98920",""
"Bulgaria","2021","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2021","101003",""
"Bulgaria","2021","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2021","103741",""
"Bulgaria","2021","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2021","491725",""
"Bulgaria","2021","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2021","105871",""
"Bulgaria","2021","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2021","103098",""
"Bulgaria","2021","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2021","90373",""
"Bulgaria","2021","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2021","88642",""
"Bulgaria","2021","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2021","89973",""
"Bulgaria","2021","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2021","464881",""
"Bulgaria","2021","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2021","92803",""
"Bulgaria","2021","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2021","93015",""
"Bulgaria","2021","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2021","93453",""
"Bulgaria","2021","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2021","95637",""
"Bulgaria","2021","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2021","94842",""
"Bulgaria","2021","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2021","468096",""
"Bulgaria","2021","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2021","92154",""
"Bulgaria","2021","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2021","92985",""
"Bulgaria","2021","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2021","92851",""
"Bulgaria","2021","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2021","95264",""
"Bulgaria","2021","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2021","94418",""
"Bulgaria","2021","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2021","451579",""
"Bulgaria","2021","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2021","91531",""
"Bulgaria","2021","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2021","91612",""
"Bulgaria","2021","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2021","88942",""
"Bulgaria","2021","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2021","85076",""
"Bulgaria","2021","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2021","95119",""
"Bulgaria","2021","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2021","428163",""
"Bulgaria","2021","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2021","90225",""
"Bulgaria","2021","Total","Both Sexes","72","Estimate - de jure","Final figure, complete","2021","84784",""
"Bulgaria","2021","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2021","78768",""
"Bulgaria","2021","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2021","79267",""
"Bulgaria","2021","Total","Both Sexes","75","Estimate - de jure","Final figure, complete","2021","68313",""
"Bulgaria","2021","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2021","288403",""
"Bulgaria","2021","Total","Both Sexes","76","Estimate - de jure","Final figure, complete","2021","59996",""
"Bulgaria","2021","Total","Both Sexes","77","Estimate - de jure","Final figure, complete","2021","57441",""
"Bulgaria","2021","Total","Both Sexes","78","Estimate - de jure","Final figure, complete","2021","53753",""
"Bulgaria","2021","Total","Both Sexes","79","Estimate - de jure","Final figure, complete","2021","48900",""
"Bulgaria","2021","Total","Both Sexes","80","Estimate - de jure","Final figure, complete","2021","45879",""
"Bulgaria","2021","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2021","190665",""
"Bulgaria","2021","Total","Both Sexes","81","Estimate - de jure","Final figure, complete","2021","40186",""
"Bulgaria","2021","Total","Both Sexes","82","Estimate - de jure","Final figure, complete","2021","37590",""
"Bulgaria","2021","Total","Both Sexes","83","Estimate - de jure","Final figure, complete","2021","34671",""
"Bulgaria","2021","Total","Both Sexes","84","Estimate - de jure","Final figure, complete","2021","32339",""
"Bulgaria","2021","Total","Both Sexes","85","Estimate - de jure","Final figure, complete","2021","27873",""
"Bulgaria","2021","Total","Both Sexes","85 - 89","Estimate - de jure","Final figure, complete","2021","107547",""
"Bulgaria","2021","Total","Both Sexes","86","Estimate - de jure","Final figure, complete","2021","26507",""
"Bulgaria","2021","Total","Both Sexes","87","Estimate - de jure","Final figure, complete","2021","21541",""
"Bulgaria","2021","Total","Both Sexes","88","Estimate - de jure","Final figure, complete","2021","18430",""
"Bulgaria","2021","Total","Both Sexes","89","Estimate - de jure","Final figure, complete","2021","13196",""
"Bulgaria","2021","Total","Both Sexes","90","Estimate - de jure","Final figure, complete","2021","11173",""
"Bulgaria","2021","Total","Both Sexes","90 - 94","Estimate - de jure","Final figure, complete","2021","32370",""
"Bulgaria","2021","Total","Both Sexes","91","Estimate - de jure","Final figure, complete","2021","7898",""
"Bulgaria","2021","Total","Both Sexes","92","Estimate - de jure","Final figure, complete","2021","6120",""
"Bulgaria","2021","Total","Both Sexes","93","Estimate - de jure","Final figure, complete","2021","4063",""
"Bulgaria","2021","Total","Both Sexes","94","Estimate - de jure","Final figure, complete","2021","3116",""
