"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Guatemala","2020","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2021","16858333",""
"Guatemala","2020","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2021","377500",""
"Guatemala","2020","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2021","1887973",""
"Guatemala","2020","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2021","377911",""
"Guatemala","2020","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2021","379027",""
"Guatemala","2020","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2021","377596",""
"Guatemala","2020","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2021","375939",""
"Guatemala","2020","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2021","374402",""
"Guatemala","2020","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2021","1847476",""
"Guatemala","2020","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2021","373009",""
"Guatemala","2020","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2021","369973",""
"Guatemala","2020","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2021","365660",""
"Guatemala","2020","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2021","364432",""
"Guatemala","2020","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2021","359533",""
"Guatemala","2020","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2021","1784466",""
"Guatemala","2020","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2021","358265",""
"Guatemala","2020","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2021","356950",""
"Guatemala","2020","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2021","355571",""
"Guatemala","2020","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2021","354147",""
"Guatemala","2020","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2021","352657",""
"Guatemala","2020","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2021","1779363",""
"Guatemala","2020","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2021","351021",""
"Guatemala","2020","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2021","349088",""
"Guatemala","2020","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2021","360312",""
"Guatemala","2020","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2021","366285",""
"Guatemala","2020","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2021","362803",""
"Guatemala","2020","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2021","1704341",""
"Guatemala","2020","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2021","347991",""
"Guatemala","2020","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2021","338854",""
