"""1: hombre"",""2: mujer"",""Total"""
0,25070,25920,50990
1,23810,23060,46870
2,25740,25950,51690
3,24940,23470,48410
4,24740,24260,49000
5,22970,23240,46210
6,22990,21500,44490
7,21950,22120,44070
8,20760,20690,41450
9,19610,20030,39640
10,18560,18330,36890
11,17270,17390,34660
12,18510,17380,35890
13,15410,17230,32640
14,14480,14040,28520
15,13790,13530,27320
16,12410,13620,26030
17,12810,12470,25280
18,12190,12690,24880
19,10720,11480,22200
20,11780,12330,24110
21,9020,9580,18600
22,11050,11700,22750
23,10130,10470,20600
24,9320,11490,20810
25,9860,10430,20290
26,9080,8310,17390
27,8060,8630,16690
28,8600,8380,16980
29,5960,7110,13070
30,9860,10330,20190
31,4310,5300,9610
32,7980,9100,17080
33,8840,7850,16690
34,6880,6590,13470
35,7980,8070,16050
36,6250,7060,13310
37,5810,6260,12070
38,6660,6840,13500
39,6140,5130,11270
40,8240,8500,16740
41,3330,3340,6670
42,5950,5810,11760
43,4880,4510,9390
44,3830,3770,7600
45,5390,5910,11300
46,3700,3640,7340
47,4020,4850,8870
48,4980,5110,10090
49,4190,3950,8140
50,6830,6400,13230
51,2680,2540,5220
52,4840,4440,9280
53,3990,3530,7520
54,3630,3140,6770
55,3630,3670,7300
56,2850,2790,5640
57,2210,2420,4630
58,2160,2300,4460
59,1900,1980,3880
60,4290,4200,8490
61,1170,1110,2280
62,2910,2890,5800
63,2930,2590,5520
64,1590,2110,3700
65,2510,2470,4980
66,1700,1450,3150
67,1380,1370,2750
68,1580,1490,3070
69,880,940,1820
70,2370,2030,4400
71,660,480,1140
72,1420,1110,2530
73,1130,720,1850
74,820,890,1710
75,1200,1290,2490
76,700,700,1400
77,790,490,1280
78,810,590,1400
79,290,350,640
80,880,1020,1900
81,190,240,430
82,480,420,900
83,370,260,630
84,200,270,470
85,300,480,780
86,290,120,410
87,220,260,480
88,120,160,280
89,120,200,320
90,150,280,430
91,40,50,90
92,40,20,60
93,40,60,100
94,20,0,20
95,20,40,60
96,40,40,80
97,40,20,60
98: y más,50,170,220
99: desconocido,770,550,1320
Total,661040,665890,1326930
