"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Costa Rica","2021","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2022","5163413","1"
"Costa Rica","2021","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2022","33982","1"
"Costa Rica","2021","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2022","258087","1"
"Costa Rica","2021","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2022","46767","1"
"Costa Rica","2021","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2022","224105","1"
"Costa Rica","2021","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2022","51035","1"
"Costa Rica","2021","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2022","62951","1"
"Costa Rica","2021","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2022","63352","1"
"Costa Rica","2021","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2022","61395","1"
"Costa Rica","2021","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2022","331204","1"
"Costa Rica","2021","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2022","60178","1"
"Costa Rica","2021","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2022","70651","1"
"Costa Rica","2021","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2022","73298","1"
"Costa Rica","2021","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2022","65682","1"
"Costa Rica","2021","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2022","74164","1"
"Costa Rica","2021","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2022","377006","1"
"Costa Rica","2021","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2022","73310","1"
"Costa Rica","2021","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2022","71567","1"
"Costa Rica","2021","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2022","80751","1"
"Costa Rica","2021","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2022","77214","1"
"Costa Rica","2021","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2022","72774","1"
"Costa Rica","2021","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2022","398975","1"
"Costa Rica","2021","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2022","79010","1"
"Costa Rica","2021","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2022","83489","1"
"Costa Rica","2021","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2022","85523","1"
"Costa Rica","2021","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2022","78179","1"
"Costa Rica","2021","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2022","86049","1"
"Costa Rica","2021","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2022","420609","1"
"Costa Rica","2021","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2022","90415","1"
"Costa Rica","2021","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2022","89456","1"
"Costa Rica","2021","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2022","78727","1"
"Costa Rica","2021","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2022","75962","1"
"Costa Rica","2021","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2022","80216","1"
"Costa Rica","2021","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2022","369714","1"
"Costa Rica","2021","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2022","74930","1"
"Costa Rica","2021","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2022","75605","1"
"Costa Rica","2021","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2022","70719","1"
"Costa Rica","2021","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2022","68244","1"
"Costa Rica","2021","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2022","83158","1"
"Costa Rica","2021","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2022","366944","1"
"Costa Rica","2021","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2022","62607","1"
"Costa Rica","2021","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2022","75303","1"
"Costa Rica","2021","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2022","69339","1"
"Costa Rica","2021","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2022","76537","1"
"Costa Rica","2021","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2022","86616","1"
"Costa Rica","2021","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2022","370755","1"
"Costa Rica","2021","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2022","77538","1"
"Costa Rica","2021","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2022","64525","1"
"Costa Rica","2021","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2022","76231","1"
"Costa Rica","2021","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2022","65845","1"
"Costa Rica","2021","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2022","79124","1"
"Costa Rica","2021","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2022","362833","1"
"Costa Rica","2021","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2022","68604","1"
